0,1,2,3,4,5,6,7,8,9,10
root vegetables,bottled beer,,,,,,,,,
specialty bar,bottled water,,,,,,,,,
yogurt,pasta,butter,rolls/buns,,,,,,,
whole milk,shopping bags,,,,,,,,,
soda,curd,rolls/buns,,,,,,,,
whole milk,pot plants,domestic eggs,,,,,,,,
pork,coffee,,,,,,,,,
rolls/buns,whole milk,,,,,,,,,
bottled beer,white bread,,,,,,,,,
chicken,dessert,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
cream cheese ,frozen vegetables,pastry,bottled beer,,,,,,,
napkins,cake bar,,,,,,,,,
yogurt,shopping bags,coffee,,,,,,,,
bottled beer,brown bread,,,,,,,,,
tropical fruit,flour,,,,,,,,,
bottled beer,rolls/buns,,,,,,,,,
frankfurter,curd,specialty cheese,,,,,,,,
pet care,photo/film,,,,,,,,,
bottled water,frozen vegetables,,,,,,,,,
other vegetables,processed cheese,,,,,,,,,
whole milk,curd,,,,,,,,,
processed cheese,tropical fruit,,,,,,,,,
canned beer,sliced cheese,cake bar,,,,,,,,
domestic eggs,hamburger meat,shopping bags,,,,,,,,
fish,root vegetables,,,,,,,,,
frankfurter,frozen potato products,newspapers,softener,abrasive cleaner,,,,,,
packaged fruit/vegetables,liquor,shopping bags,,,,,,,,
citrus fruit,waffles,,,,,,,,,
pork,hamburger meat,whole milk,whole milk,fruit/vegetable juice,,,,,,
root vegetables,cream cheese ,,,,,,,,,
yogurt,chewing gum,shopping bags,,,,,,,,
berries,grapes,,,,,,,,,
pork,root vegetables,,,,,,,,,
root vegetables,frozen fruits,waffles,,,,,,,,
frankfurter,bottled beer,,,,,,,,,
whipped/sour cream,curd,,,,,,,,,
coffee,butter,,,,,,,,,
canned beer,soda,,,,,,,,,
vinegar,whole milk,bottled beer,,,,,,,,
frozen potato products,specialty cheese,,,,,,,,,
hamburger meat,other vegetables,,,,,,,,,
hard cheese,canned beer,,,,,,,,,
specialty chocolate,canned fish,,,,,,,,,
rolls/buns,pastry,,,,,,,,,
pip fruit,pastry,Instant food products,,,,,,,,
pork,butter,,,,,,,,,
canned beer,whole milk,bottled beer,,,,,,,,
whole milk,organic sausage,specialty bar,yogurt,,,,,,,
canned beer,salt,,,,,,,,,
meat,sausage,salty snack,white wine,frozen vegetables,beverages,,,,,
mustard,sugar,baking powder,,,,,,,,
ham,pastry,,,,,,,,,
yogurt,detergent,,,,,,,,,
yogurt,roll products ,fruit/vegetable juice,,,,,,,,
ham,soft cheese,fruit/vegetable juice,sugar,,,,,,,
berries,soda,bottled beer,,,,,,,,
frozen vegetables,dessert,,,,,,,,,
tropical fruit,long life bakery product,,,,,,,,,
liquor,hygiene articles,,,,,,,,,
waffles,rolls/buns,,,,,,,,,
male cosmetics,hard cheese,,,,,,,,,
pork,curd,,,,,,,,,
citrus fruit,roll products ,,,,,,,,,
brown bread,coffee,canned beer,,,,,,,,
curd,soda,shopping bags,,,,,,,,
bottled beer,fruit/vegetable juice,,,,,,,,,
frankfurter,citrus fruit,specialty chocolate,,,,,,,,
yogurt,rolls/buns,,,,,,,,,
flower (seeds),bottled beer,,,,,,,,,
specialty bar,soda,,,,,,,,,
misc. beverages,dessert,,,,,,,,,
curd,root vegetables,,,,,,,,,
root vegetables,oil,soda,,,,,,,,
hygiene articles,other vegetables,,,,,,,,,
soda,waffles,,,,,,,,,
whole milk,tropical fruit,margarine,,,,,,,,
pork,bottled beer,,,,,,,,,
beef,napkins,,,,,,,,,
chicken,pip fruit,,,,,,,,,
butter milk,pickled vegetables,hygiene articles,,,,,,,,
chocolate,tea,,,,,,,,,
bottled beer,whole milk,tropical fruit,whole milk,hygiene articles,pot plants,soda,,,,
whole milk,newspapers,,,,,,,,,
pip fruit,frozen meals,white bread,brown bread,fruit/vegetable juice,pastry,,,,,
berries,rolls/buns,,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
whole milk,pastry,,,,,,,,,
tropical fruit,root vegetables,candy,yogurt,rolls/buns,,,,,,
white wine,brown bread,,,,,,,,,
frozen vegetables,fruit/vegetable juice,,,,,,,,,
tropical fruit,bottled water,kitchen towels,processed cheese,,,,,,,
brown bread,processed cheese,,,,,,,,,
white bread,brown bread,,,,,,,,,
ice cream,rolls/buns,bottled beer,canned beer,,,,,,,
margarine,soda,canned fish,,,,,,,,
soda,flour,,,,,,,,,
other vegetables,waffles,butter,,,,,,,,
herbs,soda,frozen vegetables,,,,,,,,
frozen potato products,detergent,,,,,,,,,
hygiene articles,whole milk,,,,,,,,,
rolls/buns,pip fruit,,,,,,,,,
frankfurter,frankfurter,grapes,brown bread,,,,,,,
whole milk,white wine,,,,,,,,,
pork,whole milk,,,,,,,,,
root vegetables,sausage,cream cheese ,yogurt,detergent,,,,,,
tropical fruit,fruit/vegetable juice,,,,,,,,,
beverages,specialty fat,,,,,,,,,
whole milk,root vegetables,,,,,,,,,
other vegetables,whipped/sour cream,,,,,,,,,
yogurt,hamburger meat,other vegetables,mustard,,,,,,,
grapes,other vegetables,,,,,,,,,
root vegetables,soups,decalcifier,,,,,,,,
soda,chocolate,,,,,,,,,
whole milk,curd,,,,,,,,,
packaged fruit/vegetables,dishes,,,,,,,,,
soda,margarine,,,,,,,,,
ham,white bread,long life bakery product,,,,,,,,
tropical fruit,cocoa drinks,,,,,,,,,
yogurt,tidbits,,,,,,,,,
UHT-milk,newspapers,bottled water,,,,,,,,
frankfurter,pip fruit,pip fruit,whole milk,candy,,,,,,
canned beer,brown bread,herbs,pastry,,,,,,,
specialty fat,other vegetables,white wine,,,,,,,,
whole milk,margarine,soda,softener,,,,,,,
coffee,citrus fruit,other vegetables,fruit/vegetable juice,,,,,,,
whipped/sour cream,brown bread,,,,,,,,,
sausage,cream cheese ,,,,,,,,,
frankfurter,butter milk,,,,,,,,,
citrus fruit,pastry,,,,,,,,,
oil,whipped/sour cream,,,,,,,,,
whole milk,bottled beer,,,,,,,,,
whole milk,whole milk,herbs,,,,,,,,
rolls/buns,waffles,,,,,,,,,
long life bakery product,brown bread,popcorn,,,,,,,,
whole milk,specialty bar,,,,,,,,,
sparkling wine,soda,,,,,,,,,
soda,pork,,,,,,,,,
turkey,whipped/sour cream,,,,,,,,,
canned beer,napkins,sparkling wine,,,,,,,,
sausage,sliced cheese,,,,,,,,,
root vegetables,dessert,,,,,,,,,
seasonal products,pot plants,whole milk,dental care,,,,,,,
other vegetables,oil,,,,,,,,,
rolls/buns,root vegetables,,,,,,,,,
whole milk,frozen vegetables,soda,chocolate,,,,,,,
yogurt,domestic eggs,pasta,,,,,,,,
yogurt,tropical fruit,,,,,,,,,
tropical fruit,candy,,,,,,,,,
red/blush wine,berries,,,,,,,,,
citrus fruit,tropical fruit,root vegetables,soda,,,,,,,
tropical fruit,root vegetables,detergent,,,,,,,,
hygiene articles,pastry,,,,,,,,,
rolls/buns,candy,,,,,,,,,
bottled water,soda,soda,,,,,,,,
citrus fruit,beef,,,,,,,,,
cat food,semi-finished bread,,,,,,,,,
yogurt,pip fruit,house keeping products,frozen vegetables,,,,,,,
yogurt,berries,onions,pip fruit,,,,,,,
yogurt,canned beer,,,,,,,,,
long life bakery product,yogurt,,,,,,,,,
beef,candles,,,,,,,,,
rolls/buns,soda,chocolate,soda,,,,,,,
whipped/sour cream,other vegetables,pot plants,,,,,,,,
frozen vegetables,brown bread,,,,,,,,,
tropical fruit,red/blush wine,,,,,,,,,
dessert,rolls/buns,,,,,,,,,
UHT-milk,curd,flower (seeds),,,,,,,,
rolls/buns,yogurt,,,,,,,,,
sausage,pip fruit,,,,,,,,,
sugar,citrus fruit,napkins,,,,,,,,
specialty chocolate,soda,,,,,,,,,
other vegetables,citrus fruit,,,,,,,,,
citrus fruit,pip fruit,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
brown bread,domestic eggs,,,,,,,,,
pork,shopping bags,bottled water,,,,,,,,
canned beer,cream cheese ,,,,,,,,,
hamburger meat,root vegetables,fruit/vegetable juice,,,,,,,,
coffee,coffee,,,,,,,,,
pork,other vegetables,curd,domestic eggs,domestic eggs,domestic eggs,,,,,
other vegetables,frozen vegetables,,,,,,,,,
coffee,yogurt,,,,,,,,,
beef,soda,coffee,,,,,,,,
pastry,sauces,,,,,,,,,
tropical fruit,pastry,,,,,,,,,
brown bread,herbs,,,,,,,,,
yogurt,whole milk,waffles,,,,,,,,
root vegetables,yogurt,tropical fruit,shopping bags,,,,,,,
chicken,rolls/buns,,,,,,,,,
other vegetables,finished products,beef,whole milk,chocolate,sugar,,,,,
bottled water,yogurt,,,,,,,,,
soda,zwieback,pastry,,,,,,,,
canned beer,rolls/buns,,,,,,,,,
other vegetables,butter,,,,,,,,,
chewing gum,citrus fruit,,,,,,,,,
curd,specialty chocolate,flour,,,,,,,,
yogurt,tropical fruit,whipped/sour cream,Instant food products,,,,,,,
pork,pip fruit,whole milk,shopping bags,,,,,,,
beef,white wine,pip fruit,,,,,,,,
citrus fruit,specialty bar,domestic eggs,,,,,,,,
soda,newspapers,long life bakery product,,,,,,,,
napkins,tropical fruit,yogurt,sugar,,,,,,,
pork,soda,,,,,,,,,
frozen fruits,dishes,,,,,,,,,
canned beer,berries,,,,,,,,,
sausage,yogurt,,,,,,,,,
frankfurter,sliced cheese,sugar,,,,,,,,
yogurt,chocolate,,,,,,,,,
citrus fruit,bottled water,white wine,rolls/buns,,,,,,,
packaged fruit/vegetables,fish,frozen meals,specialty chocolate,brown bread,,,,,,
detergent,newspapers,,,,,,,,,
sausage,whole milk,semi-finished bread,yogurt,,,,,,,
bottled water,berries,,,,,,,,,
citrus fruit,light bulbs,,,,,,,,,
photo/film,onions,,,,,,,,,
canned beer,bottled beer,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
waffles,sparkling wine,,,,,,,,,
dessert,pickled vegetables,cat food,,,,,,,,
root vegetables,frozen vegetables,rolls/buns,,,,,,,,
sausage,canned beer,newspapers,tropical fruit,newspapers,,,,,,
rolls/buns,flour,,,,,,,,,
whole milk,whole milk,,,,,,,,,
tropical fruit,shopping bags,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
rolls/buns,detergent,,,,,,,,,
pip fruit,rolls/buns,,,,,,,,,
ice cream,shopping bags,soda,,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
cream cheese ,coffee,,,,,,,,,
pickled vegetables,cream cheese ,,,,,,,,,
pasta,sausage,rolls/buns,root vegetables,flower (seeds),,,,,,
cream cheese ,rolls/buns,,,,,,,,,
tropical fruit,whole milk,rolls/buns,cream cheese ,whole milk,shopping bags,,,,,
napkins,cleaner,,,,,,,,,
frankfurter,red/blush wine,,,,,,,,,
soda,pork,curd,Instant food products,,,,,,,
organic sausage,semi-finished bread,,,,,,,,,
chicken,whole milk,whole milk,chewing gum,,,,,,,
other vegetables,margarine,shopping bags,processed cheese,,,,,,,
other vegetables,berries,,,,,,,,,
rolls/buns,jam,cake bar,,,,,,,,
whole milk,baking powder,,,,,,,,,
yogurt,white bread,,,,,,,,,
canned beer,ready soups,,,,,,,,,
coffee,berries,grapes,cream cheese ,cat food,,,,,,
root vegetables,whipped/sour cream,,,,,,,,,
frozen vegetables,domestic eggs,,,,,,,,,
mustard,shopping bags,shopping bags,,,,,,,,
specialty chocolate,flour,,,,,,,,,
curd,chicken,,,,,,,,,
ice cream,dog food,,,,,,,,,
ham,rolls/buns,,,,,,,,,
citrus fruit,flour,,,,,,,,,
tropical fruit,shopping bags,cream cheese ,pasta,,,,,,,
pork,canned beer,whole milk,rolls/buns,,,,,,,
liquor,UHT-milk,,,,,,,,,
bottled water,UHT-milk,,,,,,,,,
grapes,whole milk,,,,,,,,,
frozen vegetables,dishes,soda,domestic eggs,,,,,,,
soft cheese,sliced cheese,soda,,,,,,,,
rolls/buns,specialty chocolate,,,,,,,,,
other vegetables,soda,hard cheese,coffee,whipped/sour cream,newspapers,,,,,
rolls/buns,seasonal products,,,,,,,,,
soda,newspapers,,,,,,,,,
beverages,chewing gum,rolls/buns,,,,,,,,
dessert,house keeping products,,,,,,,,,
butter milk,cleaner,bottled water,,,,,,,,
bottled water,beverages,pastry,,,,,,,,
beverages,whole milk,,,,,,,,,
chicken,house keeping products,,,,,,,,,
red/blush wine,salty snack,,,,,,,,,
sausage,specialty chocolate,,,,,,,,,
root vegetables,rolls/buns,,,,,,,,,
ham,citrus fruit,sugar,ice cream,whole milk,chocolate marshmallow,specialty bar,candy,,,
citrus fruit,yogurt,UHT-milk,,,,,,,,
sliced cheese,pastry,onions,,,,,,,,
pet care,rolls/buns,,,,,,,,,
ice cream,root vegetables,hygiene articles,,,,,,,,
brown bread,yogurt,,,,,,,,,
beef,newspapers,,,,,,,,,
yogurt,herbs,,,,,,,,,
other vegetables,UHT-milk,,,,,,,,,
root vegetables,rolls/buns,Instant food products,,,,,,,,
frankfurter,misc. beverages,,,,,,,,,
rolls/buns,pastry,,,,,,,,,
whole milk,pickled vegetables,,,,,,,,,
root vegetables,pastry,rolls/buns,condensed milk,tropical fruit,bathroom cleaner,waffles,canned beer,,,
citrus fruit,specialty bar,,,,,,,,,
meat,yogurt,,,,,,,,,
other vegetables,bottled water,,,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
whole milk,popcorn,,,,,,,,,
bottled water,pastry,,,,,,,,,
hamburger meat,pet care,pastry,,,,,,,,
tropical fruit,pastry,,,,,,,,,
sausage,whipped/sour cream,,,,,,,,,
misc. beverages,shopping bags,,,,,,,,,
rolls/buns,specialty chocolate,napkins,onions,rice,rolls/buns,butter milk,dental care,,,
whole milk,hard cheese,,,,,,,,,
other vegetables,dog food,,,,,,,,,
berries,soda,fruit/vegetable juice,,,,,,,,
grapes,bottled water,,,,,,,,,
pip fruit,canned beer,hygiene articles,coffee,,,,,,,
canned beer,pastry,,,,,,,,,
canned beer,coffee,,,,,,,,,
tropical fruit,sugar,,,,,,,,,
domestic eggs,potato products,,,,,,,,,
other vegetables,meat spreads,,,,,,,,,
pet care,dog food,,,,,,,,,
chewing gum,whole milk,bottled beer,ready soups,,,,,,,
rolls/buns,pastry,butter,processed cheese,other vegetables,whole milk,chocolate,hard cheese,butter,,
liquor (appetizer),hard cheese,yogurt,,,,,,,,
sausage,red/blush wine,,,,,,,,,
UHT-milk,whole milk,,,,,,,,,
fruit/vegetable juice,meat,whole milk,root vegetables,frozen meals,,,,,,
citrus fruit,frozen vegetables,margarine,,,,,,,,
bottled water,bottled water,,,,,,,,,
tropical fruit,dessert,domestic eggs,,,,,,,,
fish,pot plants,coffee,,,,,,,,
rolls/buns,root vegetables,,,,,,,,,
root vegetables,dog food,,,,,,,,,
root vegetables,bottled water,frozen dessert,,,,,,,,
root vegetables,other vegetables,white wine,,,,,,,,
fruit/vegetable juice,whole milk,,,,,,,,,
specialty bar,bottled beer,,,,,,,,,
canned beer,ice cream,,,,,,,,,
newspapers,sausage,,,,,,,,,
hamburger meat,tropical fruit,soda,,,,,,,,
other vegetables,whipped/sour cream,,,,,,,,,
liver loaf,fruit/vegetable juice,,,,,,,,,
pasta,oil,,,,,,,,,
other vegetables,other vegetables,,,,,,,,,
frankfurter,bottled water,,,,,,,,,
packaged fruit/vegetables,frozen fish,,,,,,,,,
sausage,sliced cheese,ice cream,long life bakery product,,,,,,,
citrus fruit,butter,,,,,,,,,
frozen vegetables,butter,,,,,,,,,
pork,long life bakery product,,,,,,,,,
other vegetables,citrus fruit,root vegetables,whipped/sour cream,,,,,,,
frozen meals,brown bread,dishes,,,,,,,,
root vegetables,meat,,,,,,,,,
brown bread,beef,bottled beer,specialty fat,,,,,,,
pork,liquor,,,,,,,,,
whole milk,yogurt,,,,,,,,,
curd,whole milk,bottled water,,,,,,,,
other vegetables,rolls/buns,bottled water,soda,,,,,,,
red/blush wine,yogurt,,,,,,,,,
sausage,shopping bags,,,,,,,,,
other vegetables,frozen vegetables,,,,,,,,,
bottled water,butter milk,,,,,,,,,
whole milk,bottled water,coffee,,,,,,,,
meat,frozen potato products,,,,,,,,,
rolls/buns,other vegetables,whipped/sour cream,,,,,,,,
root vegetables,ice cream,,,,,,,,,
bottled beer,tropical fruit,yogurt,berries,,,,,,,
whole milk,brown bread,,,,,,,,,
butter,yogurt,,,,,,,,,
sausage,pip fruit,tropical fruit,pasta,rolls/buns,beverages,brown bread,,,,
bottled beer,canned vegetables,,,,,,,,,
sausage,cat food,,,,,,,,,
butter,canned fish,cream cheese ,,,,,,,,
frozen fish,sausage,chocolate,rolls/buns,,,,,,,
citrus fruit,whole milk,,,,,,,,,
UHT-milk,domestic eggs,,,,,,,,,
sausage,spread cheese,chocolate,,,,,,,,
sausage,pork,butter milk,canned beer,whole milk,yogurt,rolls/buns,,,,
fruit/vegetable juice,flower (seeds),,,,,,,,,
frankfurter,whole milk,,,,,,,,,
canned vegetables,root vegetables,cake bar,,,,,,,,
butter,semi-finished bread,,,,,,,,,
sausage,other vegetables,waffles,,,,,,,,
yogurt,curd,pastry,,,,,,,,
spread cheese,specialty bar,,,,,,,,,
sausage,soda,,,,,,,,,
whole milk,frozen dessert,,,,,,,,,
whole milk,misc. beverages,,,,,,,,,
other vegetables,newspapers,,,,,,,,,
frozen meals,frozen potato products,,,,,,,,,
other vegetables,pork,,,,,,,,,
butter milk,canned beer,yogurt,semi-finished bread,margarine,,,,,,
sausage,honey,beverages,soda,frozen dessert,whipped/sour cream,,,,,
other vegetables,yogurt,,,,,,,,,
whole milk,cat food,processed cheese,rolls/buns,,,,,,,
UHT-milk,whipped/sour cream,,,,,,,,,
tropical fruit,beverages,,,,,,,,,
sausage,citrus fruit,,,,,,,,,
pork,whole milk,,,,,,,,,
pork,other vegetables,,,,,,,,,
whole milk,fruit/vegetable juice,,,,,,,,,
semi-finished bread,whole milk,fruit/vegetable juice,,,,,,,,
yogurt,newspapers,,,,,,,,,
frankfurter,pastry,hygiene articles,,,,,,,,
sausage,candy,,,,,,,,,
pork,white bread,waffles,,,,,,,,
rolls/buns,tropical fruit,root vegetables,condensed milk,,,,,,,
bottled water,bottled beer,,,,,,,,,
hard cheese,curd,,,,,,,,,
other vegetables,newspapers,,,,,,,,,
pork,yogurt,soda,,,,,,,,
whole milk,other vegetables,,,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
other vegetables,margarine,,,,,,,,,
pip fruit,butter,,,,,,,,,
ice cream,whole milk,margarine,whole milk,,,,,,,
herbs,newspapers,newspapers,rolls/buns,,,,,,,
berries,pastry,,,,,,,,,
whole milk,white bread,newspapers,,,,,,,,
misc. beverages,processed cheese,,,,,,,,,
onions,soda,,,,,,,,,
rolls/buns,sugar,,,,,,,,,
frankfurter,other vegetables,specialty bar,,,,,,,,
chocolate,brown bread,,,,,,,,,
citrus fruit,brown bread,cat food,,,,,,,,
other vegetables,citrus fruit,,,,,,,,,
whole milk,onions,cream cheese ,,,,,,,,
other vegetables,pickled vegetables,,,,,,,,,
hygiene articles,coffee,,,,,,,,,
whole milk,soda,,,,,,,,,
condensed milk,bottled water,bottled beer,,,,,,,,
turkey,beef,root vegetables,margarine,shopping bags,curd,,,,,
chicken,margarine,yogurt,,,,,,,,
rolls/buns,pip fruit,,,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
sausage,butter,,,,,,,,,
yogurt,dessert,,,,,,,,,
bottled water,chocolate,,,,,,,,,
curd,root vegetables,dish cleaner,,,,,,,,
tropical fruit,hamburger meat,bottled beer,yogurt,,,,,,,
brown bread,pet care,,,,,,,,,
domestic eggs,bottled beer,,,,,,,,,
potato products,oil,,,,,,,,,
whole milk,chewing gum,,,,,,,,,
UHT-milk,bottled water,,,,,,,,,
tropical fruit,shopping bags,,,,,,,,,
flower (seeds),whipped/sour cream,specialty chocolate,bottled water,,,,,,,
curd,dessert,cling film/bags,,,,,,,,
other vegetables,red/blush wine,,,,,,,,,
chewing gum,UHT-milk,,,,,,,,,
spread cheese,shopping bags,,,,,,,,,
canned beer,shopping bags,,,,,,,,,
root vegetables,frozen potato products,onions,UHT-milk,,,,,,,
whole milk,soda,newspapers,,,,,,,,
sausage,tropical fruit,,,,,,,,,
rolls/buns,bottled water,bottled water,,,,,,,,
margarine,long life bakery product,,,,,,,,,
soda,whole milk,,,,,,,,,
bottled water,soft cheese,dishes,chocolate,,,,,,,
sausage,sugar,yogurt,,,,,,,,
misc. beverages,pastry,,,,,,,,,
sausage,chicken,domestic eggs,curd,pastry,,,,,,
frankfurter,dessert,pet care,soda,whipped/sour cream,,,,,,
pip fruit,pastry,,,,,,,,,
dessert,soda,,,,,,,,,
soda,sausage,yogurt,root vegetables,,,,,,,
other vegetables,pot plants,yogurt,salty snack,,,,,,,
liver loaf,margarine,cat food,,,,,,,,
sausage,herbs,,,,,,,,,
coffee,hard cheese,,,,,,,,,
frozen meals,whole milk,,,,,,,,,
tropical fruit,artif. sweetener,,,,,,,,,
packaged fruit/vegetables,long life bakery product,,,,,,,,,
pork,cereals,,,,,,,,,
berries,bottled beer,,,,,,,,,
coffee,soda,frozen vegetables,,,,,,,,
other vegetables,whole milk,rolls/buns,other vegetables,bottled water,whole milk,yogurt,other vegetables,,,
berries,grapes,other vegetables,,,,,,,,
margarine,citrus fruit,oil,,,,,,,,
candles,canned fish,oil,,,,,,,,
pork,flour,,,,,,,,,
pastry,chewing gum,,,,,,,,,
ham,frozen meals,,,,,,,,,
pip fruit,brown bread,,,,,,,,,
frozen meals,abrasive cleaner,,,,,,,,,
bottled water,butter,waffles,,,,,,,,
hamburger meat,rolls/buns,,,,,,,,,
other vegetables,napkins,,,,,,,,,
sausage,rolls/buns,rice,,,,,,,,
chicken,UHT-milk,napkins,,,,,,,,
pip fruit,chocolate marshmallow,,,,,,,,,
pip fruit,shopping bags,,,,,,,,,
sausage,whipped/sour cream,misc. beverages,,,,,,,,
hamburger meat,soda,hard cheese,,,,,,,,
whole milk,dessert,,,,,,,,,
whipped/sour cream,shopping bags,,,,,,,,,
pastry,herbs,,,,,,,,,
flower soil/fertilizer,butter milk,,,,,,,,,
butter,whole milk,,,,,,,,,
tropical fruit,domestic eggs,,,,,,,,,
dessert,chocolate,,,,,,,,,
dessert,ham,,,,,,,,,
other vegetables,napkins,,,,,,,,,
whole milk,turkey,pork,dog food,rolls/buns,soda,bottled water,bottled water,,,
whole milk,bottled water,,,,,,,,,
rolls/buns,shopping bags,,,,,,,,,
pork,newspapers,,,,,,,,,
soda,frozen meals,liquor (appetizer),specialty chocolate,,,,,,,
frankfurter,ice cream,,,,,,,,,
root vegetables,brown bread,,,,,,,,,
bottled beer,whole milk,,,,,,,,,
meat,whole milk,,,,,,,,,
curd,shopping bags,,,,,,,,,
sausage,curd,,,,,,,,,
photo/film,whole milk,,,,,,,,,
pasta,mustard,syrup,,,,,,,,
pot plants,citrus fruit,whipped/sour cream,,,,,,,,
napkins,whole milk,butter milk,,,,,,,,
brown bread,whole milk,canned fish,brown bread,,,,,,,
pork,napkins,,,,,,,,,
beef,other vegetables,,,,,,,,,
hamburger meat,bottled water,,,,,,,,,
sausage,tropical fruit,,,,,,,,,
tropical fruit,frozen dessert,newspapers,,,,,,,,
chicken,tropical fruit,citrus fruit,yogurt,,,,,,,
meat,soda,,,,,,,,,
beverages,other vegetables,,,,,,,,,
frankfurter,yogurt,other vegetables,herbs,male cosmetics,,,,,,
pasta,soda,,,,,,,,,
shopping bags,other vegetables,coffee,,,,,,,,
sausage,whole milk,,,,,,,,,
bottled beer,sparkling wine,hamburger meat,rolls/buns,,,,,,,
cookware,sausage,soda,spices,,,,,,,
margarine,mayonnaise,,,,,,,,,
ice cream,whole milk,,,,,,,,,
other vegetables,yogurt,Instant food products,,,,,,,,
frankfurter,dessert,,,,,,,,,
root vegetables,herbs,cream cheese ,,,,,,,,
pip fruit,beverages,,,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
chicken,shopping bags,,,,,,,,,
frankfurter,whole milk,,,,,,,,,
coffee,domestic eggs,,,,,,,,,
whole milk,whole milk,semi-finished bread,brandy,,,,,,,
meat,fruit/vegetable juice,,,,,,,,,
soda,other vegetables,,,,,,,,,
soda,napkins,,,,,,,,,
other vegetables,fruit/vegetable juice,,,,,,,,,
citrus fruit,cereals,,,,,,,,,
whole milk,UHT-milk,,,,,,,,,
frozen vegetables,bottled beer,soda,rolls/buns,,,,,,,
whole milk,cat food,,,,,,,,,
turkey,herbs,white bread,,,,,,,,
pip fruit,whole milk,,,,,,,,,
beverages,domestic eggs,,,,,,,,,
photo/film,whipped/sour cream,,,,,,,,,
yogurt,whipped/sour cream,,,,,,,,,
beverages,soda,,,,,,,,,
soda,hygiene articles,,,,,,,,,
other vegetables,soda,,,,,,,,,
curd,rice,other vegetables,canned fish,,,,,,,
pip fruit,tropical fruit,,,,,,,,,
whole milk,butter,,,,,,,,,
pot plants,pastry,,,,,,,,,
beef,roll products ,root vegetables,chicken,waffles,male cosmetics,grapes,brown bread,,,
chocolate,pasta,,,,,,,,,
other vegetables,butter milk,chewing gum,specialty chocolate,,,,,,,
semi-finished bread,liquor (appetizer),,,,,,,,,
fruit/vegetable juice,yogurt,pastry,,,,,,,,
chicken,house keeping products,,,,,,,,,
soda,yogurt,white bread,,,,,,,,
frozen vegetables,napkins,,,,,,,,,
meat,whole milk,,,,,,,,,
pot plants,shopping bags,coffee,,,,,,,,
pastry,soda,pastry,,,,,,,,
bottled water,specialty chocolate,,,,,,,,,
rolls/buns,soda,shopping bags,,,,,,,,
chicken,other vegetables,frozen meals,,,,,,,,
bottled beer,Instant food products,,,,,,,,,
beverages,waffles,specialty chocolate,,,,,,,,
other vegetables,whole milk,,,,,,,,,
beverages,mustard,,,,,,,,,
beef,pastry,,,,,,,,,
bottled water,napkins,pastry,,,,,,,,
salty snack,chocolate marshmallow,,,,,,,,,
dish cleaner,whole milk,frozen vegetables,waffles,,,,,,,
rolls/buns,margarine,soda,,,,,,,,
yogurt,UHT-milk,,,,,,,,,
dog food,curd,,,,,,,,,
bottled water,whipped/sour cream,,,,,,,,,
sausage,soda,,,,,,,,,
citrus fruit,cat food,,,,,,,,,
pastry,red/blush wine,,,,,,,,,
specialty bar,processed cheese,whole milk,whole milk,misc. beverages,,,,,,
other vegetables,whipped/sour cream,,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
turkey,other vegetables,,,,,,,,,
misc. beverages,long life bakery product,,,,,,,,,
chicken,soups,bottled water,,,,,,,,
butter milk,fruit/vegetable juice,,,,,,,,,
salty snack,frozen meals,,,,,,,,,
citrus fruit,waffles,,,,,,,,,
flour,chocolate marshmallow,,,,,,,,,
beverages,domestic eggs,,,,,,,,,
root vegetables,yogurt,,,,,,,,,
frozen vegetables,bottled water,,,,,,,,,
bottled water,canned beer,,,,,,,,,
frankfurter,other vegetables,,,,,,,,,
yogurt,soda,frozen fish,,,,,,,,
tropical fruit,tropical fruit,whole milk,,,,,,,,
cat food,canned vegetables,,,,,,,,,
soda,chewing gum,,,,,,,,,
beef,frozen vegetables,,,,,,,,,
napkins,soda,,,,,,,,,
cream cheese ,fruit/vegetable juice,,,,,,,,,
pork,whole milk,whole milk,,,,,,,,
processed cheese,onions,root vegetables,,,,,,,,
canned beer,potato products,,,,,,,,,
berries,processed cheese,,,,,,,,,
tea,light bulbs,,,,,,,,,
pip fruit,specialty chocolate,liquor,rolls/buns,,,,,,,
pork,brown bread,,,,,,,,,
sausage,shopping bags,,,,,,,,,
rolls/buns,white bread,,,,,,,,,
fruit/vegetable juice,chocolate,,,,,,,,,
pip fruit,white bread,sliced cheese,,,,,,,,
pork,rolls/buns,specialty bar,hygiene articles,,,,,,,
sausage,tropical fruit,misc. beverages,root vegetables,,,,,,,
tropical fruit,root vegetables,,,,,,,,,
UHT-milk,soda,,,,,,,,,
pastry,whole milk,,,,,,,,,
pip fruit,rolls/buns,,,,,,,,,
citrus fruit,fruit/vegetable juice,,,,,,,,,
